date,total_volume,avg_trade_size,trade_count,total_pnl,avg_pnl,pnl_volatility,avg_price,price_volatility,profit_ratio,unique_traders,value,classification,datetime,volume_per_trader,pnl_per_trade,risk_adjusted_return
2023-05-01,477.0,159.0,3,0.0,0.0,0.0,1898.1333333333332,0.4041451884326002,0.0,1,63,Greed,2023-05-01 05:30:00,477.0,0.0,
2023-12-05,50005.83,5556.203333333334,9,0.0,0.0,0.0,11038.3,17477.946554443974,0.0,1,75,Extreme Greed,2023-12-05 05:30:00,50005.83,0.0,
2023-12-14,113203.35,10291.213636363636,11,-205.43473700000007,-18.675885181818188,179.66353383090035,8031.868818181818,17176.671270509865,0.36363636363636365,1,72,Greed,2023-12-14 05:30:00,113203.35,-18.675885181818188,-0.1039492254415744
2023-12-15,10609.95,5304.975,2,-24.632033999999997,-12.316016999999999,4.474304424985184,2.982,0.0,0.0,1,70,Greed,2023-12-15 05:30:00,10609.95,-12.316016999999999,-2.7526104239187483
2023-12-16,15348.77,5116.256666666667,3,0.0,0.0,0.0,0.3847066666666667,2.886751345951817e-05,0.0,1,67,Greed,2023-12-16 05:30:00,15348.77,0.0,
2023-12-17,116278.02,8305.572857142857,14,304.982785,21.78448464285714,43.51261683426808,802.5418592857143,1116.3958768386804,0.5,1,73,Greed,2023-12-17 05:30:00,116278.02,21.78448464285714,0.5006475415126243
2023-12-18,31164.179999999997,15582.089999999998,2,0.0,0.0,0.0,2178.1000000000004,0.4242640687117034,0.0,1,65,Greed,2023-12-18 05:30:00,31164.179999999997,0.0,
2023-12-19,91602.41,6106.827333333334,15,1000.5386120000001,66.70257413333334,183.73537011741135,447.8019113333333,926.2740121248555,0.6666666666666666,1,73,Greed,2023-12-19 05:30:00,91602.41,66.70257413333334,0.36303611052520146
2023-12-20,141636.79,7868.710555555556,18,162.732282,9.040682333333333,21.3481314287044,6.722871666666666,5.856400352106735,0.4444444444444444,1,74,Greed,2023-12-20 05:30:00,141636.79,9.040682333333333,0.4234882272261711
2023-12-21,125233.97,2555.795306122449,49,537.211402,10.963498000000001,20.811624735703514,91.84020408163265,0.8725921388691923,0.5306122448979592,1,70,Greed,2023-12-21 05:30:00,125233.97,10.963498000000001,0.5267968329830348
2023-12-22,88874.28,8887.428,10,141.832675,14.1832675,40.92671758278208,30692.8325,21171.893320848874,0.2,1,74,Greed,2023-12-22 05:30:00,88874.28,14.1832675,0.3465527737794178
2023-12-23,78438.25,6033.711538461538,13,146.936704,11.302823384615383,11.478402785910806,3.0702846153846153,5.169583196413767,0.6153846153846154,1,70,Greed,2023-12-23 05:30:00,78438.25,11.302823384615383,0.9847034988604043
2023-12-24,402954.94,10332.177948717948,39,1008.619956,25.862050153846155,52.267012077476366,13680.54118025641,20284.500535369272,0.38461538461538464,1,71,Greed,2023-12-24 05:30:00,402954.94,25.862050153846155,0.49480636305573306
2023-12-25,59948.51,19982.836666666666,3,-245.081348,-81.69378266666666,141.49778224115633,2275.4,10.653168542738976,0.0,1,73,Greed,2023-12-25 05:30:00,59948.51,-81.69378266666666,-0.5773502691896258
