date,value,signal,strategy_return,cumulative_return
2023-05-01,63,HOLD,0.0,0.0
2023-12-05,75,SELL,205.43473700000007,205.43473700000007
2023-12-14,72,HOLD,0.0,205.43473700000007
2023-12-15,70,HOLD,0.0,205.43473700000007
2023-12-16,67,HOLD,0.0,205.43473700000007
2023-12-17,73,HOLD,0.0,205.43473700000007
2023-12-18,65,HOLD,0.0,205.43473700000007
2023-12-19,73,HOLD,0.0,205.43473700000007
2023-12-20,74,HOLD,0.0,205.43473700000007
2023-12-21,70,HOLD,0.0,205.43473700000007
2023-12-22,74,HOLD,0.0,205.43473700000007
2023-12-23,70,HOLD,0.0,205.43473700000007
2023-12-24,71,HOLD,0.0,205.43473700000007
2023-12-25,73,HOLD,0.0,205.43473700000007
2023-12-27,73,HOLD,0.0,205.43473700000007
2023-12-28,73,HOLD,0.0,205.43473700000007
2023-12-29,65,HOLD,0.0,205.43473700000007
2023-12-30,68,HOLD,0.0,205.43473700000007
2024-01-01,65,HOLD,0.0,205.43473700000007
2024-01-02,71,HOLD,0.0,205.43473700000007
2024-01-03,70,HOLD,0.0,205.43473700000007
2024-01-04,68,HOLD,0.0,205.43473700000007
2024-01-05,72,HOLD,0.0,205.43473700000007
2024-01-06,70,HOLD,0.0,205.43473700000007
2024-01-07,71,HOLD,0.0,205.43473700000007
2024-01-08,71,HOLD,0.0,205.43473700000007
2024-01-09,76,SELL,1517.091342,1722.526079
2024-01-10,73,HOLD,0.0,1722.526079
2024-01-11,76,SELL,1925.519024,3648.045103
2024-01-12,71,HOLD,0.0,3648.045103
2024-01-15,52,HOLD,0.0,3648.045103
2024-01-16,64,HOLD,0.0,3648.045103
2024-01-17,60,HOLD,0.0,3648.045103
2024-01-18,63,HOLD,0.0,3648.045103
2024-01-19,51,HOLD,0.0,3648.045103
2024-01-20,52,HOLD,0.0,3648.045103
2024-01-21,56,HOLD,0.0,3648.045103
2024-01-22,55,HOLD,0.0,3648.045103
2024-01-23,50,HOLD,0.0,3648.045103
2024-01-24,48,HOLD,0.0,3648.045103
2024-01-25,52,HOLD,0.0,3648.045103
2024-01-26,49,HOLD,0.0,3648.045103
2024-01-28,54,HOLD,0.0,3648.045103
2024-01-29,55,HOLD,0.0,3648.045103
2024-01-30,61,HOLD,0.0,3648.045103
2024-01-31,60,HOLD,0.0,3648.045103
2024-02-01,63,HOLD,0.0,3648.045103
2024-02-02,63,HOLD,0.0,3648.045103
2024-02-03,60,HOLD,0.0,3648.045103
2024-02-04,60,HOLD,0.0,3648.045103
2024-02-05,60,HOLD,0.0,3648.045103
2024-02-06,64,HOLD,0.0,3648.045103
2024-02-07,62,HOLD,0.0,3648.045103
2024-02-08,66,HOLD,0.0,3648.045103
2024-02-11,71,HOLD,0.0,3648.045103
2024-02-12,70,HOLD,0.0,3648.045103
2024-02-13,79,SELL,-3830.599833,-182.5547300000003
2024-02-14,74,HOLD,0.0,-182.5547300000003
2024-02-15,72,HOLD,0.0,-182.5547300000003
2024-02-16,72,HOLD,0.0,-182.5547300000003
2024-02-17,76,SELL,-477.6248299999999,-660.1795600000003
2024-02-18,72,HOLD,0.0,-660.1795600000003
2024-02-19,75,SELL,-3263.628824,-3923.808384
2024-02-20,72,HOLD,0.0,-3923.808384
2024-02-21,78,SELL,-3894.1050699999996,-7817.913454
2024-02-22,74,HOLD,0.0,-7817.913454
2024-02-23,76,SELL,30.7705,-7787.142954
2024-02-25,74,HOLD,0.0,-7787.142954
2024-02-26,72,HOLD,0.0,-7787.142954
2024-02-27,79,SELL,-2503.747235,-10290.890189
2024-02-28,82,SELL,-9813.996992,-20104.887181
2024-02-29,80,SELL,-8244.241409,-28349.12859
2024-03-01,80,SELL,-230.90060000000005,-28580.02919
2024-03-02,80,SELL,-8361.086245,-36941.115435
2024-03-03,83,SELL,-27799.775742,-64740.891177
2024-03-04,82,SELL,-19791.026041,-84531.917218
2024-03-05,90,SELL,-6814.825139,-91346.742357
2024-03-06,75,SELL,-4271.886236,-95618.628593
2024-03-08,81,SELL,-9949.501624,-105568.130217
2024-03-09,84,SELL,-2482.9272,-108051.057417
2024-03-10,79,SELL,-3588.179495,-111639.23691200001
2024-03-11,82,SELL,-3039.166,-114678.402912
2024-03-12,81,SELL,-0.0,-114678.402912
2024-03-13,81,SELL,-3465.865832,-118144.268744
2024-03-14,88,SELL,-6236.513651,-124380.782395
